Volume 21   Number  16,"",42nd Precinct 
"",Report Covering the Week  4/14/2014  Through  4/20/2014,""
"",Week to Date,"","",      28 Day,"","",      Year to Date*,"",     2Year   5Year     21Year,"","",""
"",2014,2013,% Chg,2014,2013,% Chg,2014,2013,% Chg,% Chg,% Chg ,% Chg 
"","","","","","","","","","","",(2009) ,(1993) 
Murder,0,0,***.*,0,1,-100.0,2,2,0.0,0.0,-50.0,-75.0 
Rape,1,0,***.*,4,2,100.0,13,9,44.4,8.3,160.0,-27.8 
Robbery,3,2,50.0,15,16,-6.2,99,73,35.6,3.1,30.3,-71.9 
Fel. Assault,6,11,-45.5,32,44,-27.3,118,87,35.6,19.2,55.3,-55.3 
Burglary,3,0,***.*,14,11,27.3,39,34,14.7,-13.3,-9.3,-88.0 
Gr. Larceny,7,2,250.0,27,25,8.0,85,81,4.9,11.8,11.8,-5.6 
G.L.A.,0,1,-100.0,1,7,-85.7,17,24,-29.2,-32.0,-37.0,-90.2 
TOTAL,20,16,25.00,93,106,-12.26,373,310,20.32,5.07,21.50,-69.70 
Transit,0,0,***.*,1,1,0.0,7,3,133.3,133.3,40.0,***.* 
Housing,3,1,200.0,13,17,-23.5,65,39,66.7,18.2,32.7,***.* 
Petit Larceny,17,11,54.5,68,56,21.4,230,234,-1.7,-2.1,2.7,***.* 
Misd. Assault,17,10,70.0,65,60,8.3,274,212,29.2,1.9,15.6,***.* 
Misd. Sex Crimes,1,2,-50.0,6,4,50.0,8,11,-27.3,-60.0,-11.1,***.* 
Shooting Vic.,2,0,***.*,4,2,100.0,12,8,50.0,-7.7,-7.7,-47.8 
Shooting Inc.,2,0,***.*,4,2,100.0,10,7,42.9,-23.1,-9.1,-56.5
"","","","",Historical Perspective ,"","","","","",""
"","","",(Historical perspective is a complete calendar year of data.) ,"","","","","","",""
"",1990,1993,1998,2001,2013,%Chg  '13 vs '01 %Chg  ,%Chg  '13 vs '98 %Chg  ,%Chg  '13 vs '93 %Chg  ,%Chg  '13 vs '90 %Chg  ,""
Murder,54,37,12,18,12,-33.3,0.0,-67.6,-77.8,Murder 
Rape,56,76,52,44,24,-45.5,-53.8,-68.4,-57.1,Rape 
Robbery,"1,208","1,293",572,339,320,-5.6,-44.1,-75.3,-73.5,Robbery 
Fel. Assault,861,961,526,439,405,-7.7,-23.0,-57.9,-53.0,Fel. Assault 
Burglary,"1,065","1,100",443,355,177,-50.1,-60.0,-83.9,-83.4,Burglary 
Gr. Larceny,382,363,210,211,320,51.7,52.4,-11.8,-16.2,Gr. Larceny 
G.L.A.,798,475,221,239,77,-67.8,-65.2,-83.8,-90.4,G.L.A. 
TOTAL,"4,424","4,305","2,036","1,645","1,335",-18.84,-34.43,-68.99,-69.82,TOTAL
