Volume 21   Number  16,"",100th Precinct 
"",Report Covering the Week  4/14/2014  Through  4/20/2014,""
"",Week to Date,"","",      28 Day,"","",      Year to Date*,"",     2Year   5Year     21Year,"","",""
"",2014,2013,% Chg,2014,2013,% Chg,2014,2013,% Chg,% Chg,% Chg ,% Chg 
"","","","","","","","","","","",(2009) ,(1993) 
Murder,0,0,***.*,0,0,***.*,1,0,***.*,***.*,***.*,-75.0 
Rape,0,0,***.*,0,0,***.*,1,0,***.*,-50.0,-50.0,-75.0 
Robbery,0,2,-100.0,4,5,-20.0,21,14,50.0,110.0,90.9,-72.7 
Fel. Assault,1,3,-66.7,5,17,-70.6,32,43,-25.6,0.0,60.0,-49.2 
Burglary,0,2,-100.0,5,8,-37.5,26,63,-58.7,8.3,100.0,-83.2 
Gr. Larceny,6,1,500.0,13,10,30.0,40,35,14.3,-14.9,135.3,0.0 
G.L.A.,0,0,***.*,2,0,***.*,10,4,150.0,-23.1,100.0,-90.2 
TOTAL,7,8,-12.50,29,40,-27.50,131,159,-17.61,2.34,92.65,-70.56 
Transit,0,0,***.*,0,0,***.*,3,2,50.0,-25.0,50.0,***.* 
Housing,1,0,***.*,2,6,-66.7,11,10,10.0,175.0,83.3,***.* 
Petit Larceny,4,5,-20.0,17,19,-10.5,78,78,0.0,-1.3,9.9,***.* 
Misd. Assault,3,6,-50.0,17,17,0.0,69,69,0.0,3.0,-28.9,***.* 
Misd. Sex Crimes,0,1,-100.0,1,1,0.0,3,2,50.0,-25.0,50.0,***.* 
Shooting Vic.,0,1,-100.0,3,2,50.0,4,3,33.3,100.0,300.0,-20.0 
Shooting Inc.,0,1,-100.0,3,2,50.0,4,3,33.3,100.0,300.0,0.0
"","","","",Historical Perspective ,"","","","","",""
"","","",(Historical perspective is a complete calendar year of data.) ,"","","","","","",""
"",1990,1993,1998,2001,2013,%Chg  '13 vs '01 %Chg  ,%Chg  '13 vs '98 %Chg  ,%Chg  '13 vs '93 %Chg  ,%Chg  '13 vs '90 %Chg  ,""
Murder,7,5,0,1,3,200.0,/0,-40.0,-57.1,Murder 
Rape,8,13,11,10,3,-70.0,-72.7,-76.9,-62.5,Rape 
Robbery,279,278,133,63,61,-3.2,-54.1,-78.1,-78.1,Robbery 
Fel. Assault,242,212,142,93,147,58.1,3.5,-30.7,-39.3,Fel. Assault 
Burglary,426,432,177,115,151,31.3,-14.7,-65.0,-64.6,Burglary 
Gr. Larceny,202,194,115,94,173,84.0,50.4,-10.8,-14.4,Gr. Larceny 
G.L.A.,417,310,88,71,20,-71.8,-77.3,-93.5,-95.2,G.L.A. 
TOTAL,"1,581","1,444",666,447,558,24.83,-16.22,-61.36,-64.71,TOTAL
