Volume 21   Number  16,"",5th Precinct 
"",Report Covering the Week  4/14/2014  Through  4/20/2014,""
"",Week to Date,"","",      28 Day,"","",      Year to Date*,"",     2Year   5Year     21Year,"","",""
"",2014,2013,% Chg,2014,2013,% Chg,2014,2013,% Chg,% Chg,% Chg ,% Chg 
"","","","","","","","","","","",(2009) ,(1993) 
Murder,0,0,***.*,0,0,***.*,0,2,-100.0,***.*,***.*,-100.0 
Rape,0,0,***.*,1,0,***.*,3,0,***.*,-25.0,***.*,-25.0 
Robbery,4,2,100.0,5,6,-16.7,26,25,4.0,-31.6,-45.8,-87.4 
Fel. Assault,8,0,***.*,15,8,87.5,46,47,-2.1,-19.3,4.5,-33.3 
Burglary,0,2,-100.0,4,10,-60.0,33,31,6.5,22.2,-2.9,-85.7 
Gr. Larceny,7,9,-22.2,24,38,-36.8,127,145,-12.4,-15.9,-35.5,-69.8 
G.L.A.,0,0,***.*,2,0,***.*,6,0,***.*,-14.3,50.0,-94.3 
TOTAL,19,13,46.15,51,62,-17.74,241,250,-3.60,-15.14,-26.30,-76.78 
Transit,0,0,***.*,6,2,200.0,15,10,50.0,36.4,-21.1,***.* 
Housing,0,0,***.*,2,4,-50.0,11,18,-38.9,-21.4,10.0,***.* 
Petit Larceny,25,12,108.3,79,85,-7.1,284,354,-19.8,-21.1,5.2,***.* 
Misd. Assault,5,1,400.0,28,16,75.0,83,81,2.5,-20.2,-7.8,***.* 
Misd. Sex Crimes,1,1,0.0,1,3,-66.7,6,5,20.0,-45.5,-60.0,***.* 
Shooting Vic.,1,0,***.*,1,0,***.*,1,0,***.*,***.*,***.*,-75.0 
Shooting Inc.,1,0,***.*,1,0,***.*,1,0,***.*,***.*,***.*,-75.0
"","","","",Historical Perspective ,"","","","","",""
"","","",(Historical perspective is a complete calendar year of data.) ,"","","","","","",""
"",1990,1993,1998,2001,2013,%Chg  '13 vs '01 %Chg  ,%Chg  '13 vs '98 %Chg  ,%Chg  '13 vs '93 %Chg  ,%Chg  '13 vs '90 %Chg  ,""
Murder,19,10,3,3,3,0.0,0.0,-70.0,-84.2,Murder 
Rape,10,12,6,3,5,66.7,-16.7,-58.3,-50.0,Rape 
Robbery,983,827,319,250,102,-59.2,-68.0,-87.7,-89.6,Robbery 
Fel. Assault,251,303,239,136,167,22.8,-30.1,-44.9,-33.5,Fel. Assault 
Burglary,863,787,331,236,92,-61.0,-72.2,-88.3,-89.3,Burglary 
Gr. Larceny,"1,829","1,587",919,657,599,-8.8,-34.8,-62.3,-67.2,Gr. Larceny 
G.L.A.,521,337,148,97,12,-87.6,-91.9,-96.4,-97.7,G.L.A. 
TOTAL,"4,476","3,863","1,965","1,382",980,-29.09,-50.13,-74.63,-78.11,TOTAL
