Volume 21   Number  16,"",120th Precinct 
"",Report Covering the Week  4/14/2014  Through  4/20/2014,""
"","","","","","","","","",     2Year   5Year     21Year,"","",""
"",2014,2013,% Chg,2014,2013,% Chg,2014,2013,% Chg,% Chg,% Chg ,% Chg 
"","","","","","","","","","","",(2009) ,(1993) 
Murder,0,0,***.*,1,0,***.*,3,1,200.0,***.*,-40.0,-50.0 
Rape,0,0,***.*,1,1,0.0,4,2,100.0,-50.0,-69.2,-81.8 
Robbery,1,4,-75.0,13,14,-7.1,52,56,-7.1,-18.8,-13.3,-83.2 
Fel. Assault,2,8,-75.0,18,25,-28.0,95,87,9.2,8.0,17.3,-54.1 
Burglary,1,1,0.0,14,12,16.7,53,62,-14.5,-24.3,-27.4,-89.6 
Gr. Larceny,8,10,-20.0,26,23,13.0,107,80,33.8,17.6,0.0,-31.0 
G.L.A.,3,1,200.0,6,5,20.0,23,17,35.3,9.5,-43.9,-94.5 
TOTAL,15,24,-37.50,79,80,-1.25,337,305,10.49,-1.46,-11.32,-79.38 
Transit,0,0,***.*,0,0,***.*,0,0,***.*,***.*,***.*,***.* 
Housing,0,0,***.*,5,3,66.7,19,13,46.2,35.7,26.7,***.* 
Petit Larceny,15,16,-6.2,72,59,22.0,247,269,-8.2,-15.1,-44.5,***.* 
Misd. Assault,20,15,33.3,55,62,-11.3,225,238,-5.5,-24.5,-25.0,***.* 
Misd. Sex Crimes,0,0,***.*,1,0,***.*,7,2,250.0,-53.3,-56.2,***.* 
Shooting Vic.,1,1,0.0,4,2,100.0,10,4,150.0,100.0,-16.7,-44.4 
Shooting Inc.,1,1,0.0,3,2,50.0,8,4,100.0,100.0,0.0,-50.0
"","","","",Historical Perspective ,"","","","","",""
"","","",(Historical perspective is a complete calendar year of data.) ,"","","","","","",""
"",1990,1993,1998,2001,2013,%Chg  '13 vs '01 %Chg  ,%Chg  '13 vs '98 %Chg  ,%Chg  '13 vs '93 %Chg  ,%Chg  '13 vs '90 %Chg  ,""
Murder,16,21,9,7,4,-42.9,-55.6,-81.0,-75.0,Murder 
Rape,57,56,38,30,23,-23.3,-39.5,-58.9,-59.6,Rape 
Robbery,763,"1,016",359,272,257,-5.5,-28.4,-74.7,-66.3,Robbery 
Fel. Assault,854,791,517,451,350,-22.4,-32.3,-55.8,-59.0,Fel. Assault 
Burglary,"2,066","1,705",708,581,242,-58.3,-65.8,-85.8,-88.3,Burglary 
Gr. Larceny,872,589,439,424,387,-8.7,-11.8,-34.3,-55.6,Gr. Larceny 
G.L.A.,"2,099","1,347",525,320,72,-77.5,-86.3,-94.7,-96.6,G.L.A. 
TOTAL,"6,727","5,525","2,595","2,085","1,335",-35.97,-48.55,-75.84,-80.15,TOTAL
